Date,Username,Score,Level,Eaten(1),Eaten(2),Eaten(3),Eaten(4)
2025-01-08 05:33:23,User1,0,1,0,0,0,0
<<<<<<< Updated upstream
2025-01-08 17:39:41,Angie1121,140,3,8,3,0,0
2025-01-09 05:25:08,1234,0,1,0,0,0,0
2025-01-09 05:25:12,1234,0,1,0,0,0,0
=======
2025-01-08 15:33:53,User3,0,1,0,0,0,0
2025-01-08 17:45:13,User1,110,3,9,1,0,0
2025-01-08 17:50:40,User1,140,3,10,2,0,0
2025-01-08 17:51:50,User1,30,1,3,0,0,0
>>>>>>> Stashed changes
2025-01-09 05:51:46,User1,0,1,0,0,0,0
2025-01-09 05:52:01,User1,0,1,0,0,0,0
2025-01-09 06:26:54,User1,20,1,2,0,0,0
2025-01-09 06:37:07,User1,70,2,5,1,0,0
2025-01-10 03:58:01,Angie1121,120,3,8,2,0,0
2025-01-10 03:58:25,Angie1121,0,1,0,0,0,0
